id,name,album,release_date,track_number,attribute names,attribute values,uri
7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,tempo,169.971,spotify:track:7oZONwFiFIErZcXAtTu7FY
7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,loudness,-6.438,spotify:track:7oZONwFiFIErZcXAtTu7FY
7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,valence,0.363,spotify:track:7oZONwFiFIErZcXAtTu7FY
27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,acousticness,0.0436,spotify:track:27exgla7YBw9DUNNcTIpjy
27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,danceability,0.589,spotify:track:27exgla7YBw9DUNNcTIpjy
27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,liveness,0.112,spotify:track:27exgla7YBw9DUNNcTIpjy
27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,instrumentalness,7.18E-05,spotify:track:27exgla7YBw9DUNNcTIpjy
27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,energy,0.674,spotify:track:27exgla7YBw9DUNNcTIpjy
27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,duration_ms,220433,spotify:track:27exgla7YBw9DUNNcTIpjy
27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,popularity,71,spotify:track:27exgla7YBw9DUNNcTIpjy
27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,speechiness,0.0656,spotify:track:27exgla7YBw9DUNNcTIpjy
27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,tempo,139.985,spotify:track:27exgla7YBw9DUNNcTIpjy
27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,loudness,-7.48,spotify:track:27exgla7YBw9DUNNcTIpjy
27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,valence,0.514,spotify:track:27exgla7YBw9DUNNcTIpjy
733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,acousticness,0.00196,spotify:track:733OhaXQIHY7BKtY3vnSkn
